"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"334";"2544";"1634";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"";"";"";"8905";"May 1989";"White";"10° 0′ 0″";"118° 49′ 48″";"10.000000";"118.830000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"335";"2720";"1810";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"";"";"";"9104";"April 1991";"";"10° 0′ 0″";"118° 49′ 48″";"10.000000";"118.830000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"336";"2545";"1635";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Roxas";"San Jose";"";"8905";"May 1989";"Yellow/Light Purple/White";"10° 49' 0""";"119° 31' 0";"10.816700";"119.516700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"337";"2546";"1636";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Roxas";"San Jose";"";"8905";"May 1989";"White";"10° 49' 0""";"119° 31' 0";"10.816700";"119.516700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"338";"2547";"1637";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Puerto Princesa";"Bacungan";"";"8905";"May 1989";"Yellow/Light Purple";"9°54'17""";"118°39'37""";"9.904700";"119.660300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"339";"2548";"1638";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Rodolfo Tanis";"";"";"8905";"May 1989";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"340";"2549";"1639";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Rodolfo Tanis";"";"";"8905";"May 1989";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"341";"2550";"1640";"";"";"";"";"Z. mays L. ";"Philippines";"Palawan";"Quezon";"Tagbai";"";"8905";"May 1989";"Light Purple/Yellow";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"118.033300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"342";"2551";"1641";"";"MALAGKIT SALT";"";"";"Z. mays L. ";"Philippines";"Palawan";"Puas Doro";"Bobo Boui";"";"8905";"May 1989";"Green/White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"343";"2552";"1642";"";"BATIK";"";"";"Z. mays L. ";"Philippines";"Palawan";"";"Larasa";"";"8905";"May 1989";"Yellow/Light Purple";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"344";"2553";"1643";"";"";"";"Benedicto Macola";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yelllow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"345";"2554";"1644";"";"";"";"";"Z. mays L. ";"Philippines";"Iloilo";"Lambunao";"Pasig";"";"8905";"May 1989";"Yellow/Light Purple";"11° 3' 20";"122° 28' 33";"11.055600";"11.055600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"346";"2555";"1645";"";"PILIT";"";"";"Z. mays L. ";"Philippines";"Iloilo";"Lambunao";"Pasig";"";"8905";"May 1989";"White/Light Purple";"11° 3' 20";"122° 28' 33";"11.055600";"11.055600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"347";"2556";"1646";"";"MALAGKIT";"";"Filomino Heranis";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"White";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"348";"2557";"1647";"";"SAPNIT";"";"Benedicto Macola";"Z. mays L. ";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-1";"2558";"1648";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-2";"2559";"1649";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-3";"2560";"1650";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"349-4";"2561";"1651";"";"MACAGTING";"";"Benedicto Macola";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"Lulungan";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"350-1";"2562";"1652";"";"";"";"";"Z. mays L.";"Philippines";"Palawan";"Quezon";"Nixon";"";"8905";"May 1989";"Purple";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"9.233300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"350-2";"2563";"1653";"";"";"";"";"Z. mays L.";"Philippines";"Palawan";"Quezon";"Nixon";"";"8905";"May 1989";"Light Purple/Yellow";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"9.233300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"350-3";"2564";"1654";"";"";"";"";"Z. mays L.";"Philippines";"Palawan";"Quezon";"Nixon";"";"8905";"May 1989";"Light Purple";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"9.233300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"350-4";"2565";"1655";"";"";"";"";"Z. mays L.";"Philippines";"Palawan";"Quezon";"Nixon";"";"8905";"May 1989";"Light Purple";"9° 14′ 0″";"118° 2′ 0″";"9.233300";"9.233300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"351-1";"2566";"1656";"";"SAPNIT";"";"";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"351-2";"2567";"1657";"";"SAPNIT";"";"";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"";"8905";"May 1989";"Yellow/Light Purple";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"351-3";"2568";"1658";"";"SAPNIT";"";"";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"";"8905";"May 1989";"Purple";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"351-4";"2569";"1659";"";"SAPNIT";"";"";"Z. mays L.";"Philippines";"Palawan";"Brooke's Point";"Sarasa";"";"8905";"May 1989";"Yellow";"8° 44' 8";"117° 46' 48";"8.735600";"8.735600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"352";"2570";"1660";"";"";"";"";"Z. mays L. ";"Philippines";"Iloilo";"Barotac Nuevo";"";"";"8905";"May 1989";"White";"10° 53' 39";"122° 42' 16";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"478";"2571";"1661";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Agusan del Sur";"";"Andan";"";"8908";"August 1989";"White";"8° 30′ 0″";"125° 49′ 48″";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"479";"2572";"1662";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"Tugas";"Kaburiao";"";"8908";"August 1989";"Yellow/White";"7° 55′ 12″ ";"125° 4′ 48″";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"480";"2573";"1663";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Davao del Norte";"Panabo";"";"";"8908";"Augsut 1989";"White/Light Purple";"7° 18' 29"" ";"125° 41' 3""";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"481";"2574";"1664";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"Maramag";"";"";"8908";"August 1989";"White";"7° 46′ 0″ ";"125° 0′ 0";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"482";"2575";"1665";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"Salug";"Tambalang";"";"8908";"August 1989";"White";"8° 2′ 0″ ";"122° 50′ 0″ ";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"483";"2576";"1666";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"Palopaco";"Zigzag";"";"8908";"August 1989";"White/Light Purple";"7° 55′ 12″";"125° 4′ 48″";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"484";"2577";"1667";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"";"Lalona";"";"8908";"August 1989";"White";"7° 55′ 12″";"125° 4′ 48″";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"485";"2578";"1668";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"Kibawe";"";"";"8908";"August 1989";"White";"7° 34' 7""";"124° 59' 16""";"10.894200";"10.894200";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"486";"2579";"1669";"";"PAGKAIN NG BAYAN";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"";"";"";"8908";"August 1989";"White";"8° 8′ 0″";"123° 0′ 0″";"7.568600";"7.568600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"487";"2580";"1670";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"Sandangan";"Talinga";"";"8908";"August 1989";"Yellow/White";"8° 11' 16""";"122° 57' 45""";"7.568600";"7.568600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"488";"2581";"1671";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"Sandangan";"";"";"8908";"August 1989";"White";"8° 11' 16""";"122° 57' 45""";"7.568600";"7.568600";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"489";"2582";"1672";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Northern Samar";"San Isidro";"";"";"8908";"August 1989";"White";"12° 23′ 16.8″";"124° 19′ 51.6″";"8.187800";"8.187800";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"490";"2583";"1673";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Samar";"";"";"";"8908";"August 1989";"White/Light Yellow";"11° 49′ 48″";"125° 0′ 0″";"11.830000";"125.000000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"491";"2584";"1674";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Northern Samar";"Catbalogan";"New Mahayag";"";"8908";"August 1989";"Yellow/White/Light Purple";"11°51'58""";"124°48'9""";"11.866100";"124.802500";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"492";"2585";"1675";"";"ISABELA WHITE FLINT";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Isabela";"";"";"";"8908";"August 1989";"Yellow/White";"17° 0′ 0″";"122° 0′ 0″";"17.000000";"122.000000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"493";"2586";"1676";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"";"Davao City";"";"";"8908";"";"Light Purple/White";"7° 11' 56.40''";"125° 27' 17.79""";"7.198900";"125.455000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"494";"2587";"1677";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Lanao del Norte";"Salad";"";"";"8908";"August 1989";"Light Purple/White";"8° 1′ 48″ ";"124° 0′ 0″";"8.030000";"124.000000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"495";"2588";"1678";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"Tampilisan";"";"";"8908";"August 1989";"White";"8° 1′ 0″ ";"122° 41′ 0″";"8.016700";"122.683300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"496";"2589";"1679";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"South Cotabato";"Tupi";"";"";"8908";"August 1989";"White";"6° 20′ 0″ ";"124° 57′ 0″";"6.333300";"124.950000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"497";"2590";"1680";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"Valencia";"Lumabo";"";"8908";"August 1989";"White";"7° 54′ 0″";"125° 5′ 0″";"7.900000";"125.083300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"498";"2591";"1681";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"South Cotabato";"Tupi";"";"";"8908";"August 1989";"White";"6° 20′ 0″ ";"124° 57′ 0″";"6.333300";"124.950000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"499";"2592";"1682";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Leyte";"Saro";"Lutan";"";"8908";"August 1989";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"500";"2593";"1683";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"";"San Miguel";"Lacson";"";"8908";"August 1990";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"501";"2594";"1684";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"";"Davao City";"Bacaca";"";"8908";"August 1991";"White";"7° 11' 56.40''";"125° 27' 17.79""";"7.198900";"125.455000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"502";"2595";"1685";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Negros Occidental";"Guihularan";"Masaya";"";"8908";"August 1989";"White";"10° 46' 52";"122° 57' 60";"10.781100";"122.966700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"503";"2596";"1686";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Camarines Sur";"Buhi";"";"";"8908";"August 1989";"Yellow";"13° 26′ 0″";"123° 31′ 0";"13.433300";"123.516700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"504";"2597";"1687";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Camarines Sur";"Pili";"";"";"8908";"August 1989";"Yellow";"13° 35′ 0″";"123° 18′ 0″ ";"13.583300";"123.300000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"505";"2598";"1688";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Camarines Sur";"Sipocot";"N. Villasan";"";"8908";"August 1989";"Yellow/White";"13° 46′ 0″";"122° 59′ 0″";"13.766700";"122.983300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"506";"2599";"1689";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Camarines Sur";"Pili";"Curry";"";"8908";"August 1989";"Light Purple/Yellow";"13° 35′ 0″";"123° 18′ 0″ ";"13.583300";"123.300000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"507";"2600";"1690";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Iloilo";"Alimodian";"";"";"8908";"August 1990";"White";"10° 49' 17""";"122° 25' 52""";"10.821400";"122.431100";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"508";"2601";"1691";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Lanao del Norte";"Pantar";"";"";"8908";"August 1989";"White";"8° 3' 58""";"124° 15' 30""";"8.899400";"124.258300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"509";"2602";"1692";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"";"Bacoor";"Duri";"";"8908";"August 1990";"Yellow/White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"510";"2603";"1693";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Leyte";"Ormoc";"Dolores";"";"8908";"August 1989";"White";"11.06°";"124.61°";"11.100000";"124.000000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"511";"2604";"1694";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Bukidnon";"Dankagan";"Balangay";"";"8908";"August 1989";"White";"7° 37′ 0″";"125° 0′ 0″";"7.616700";"125.000000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"512";"2605";"1695";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"Dipolog City";"";"";"8908";"August 1989";"White";"8° 34′ 0″";"123° 20′ 0″";"8.566700";"123.333300";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"513";"2606";"1696";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Leyte";"Baybay";"";"";"8908";"August 1989";"White";"10° 41′ 0″";"124° 48′ 0″";"10.683300";"124.800000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"514";"2607";"1697";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Western Samar";"Gandara";"";"";"8908";"";"White";"12° 0′ 47.52″ ";"124° 48′ 41.04″ ";"12.013300";"124.811400";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"515";"2608";"1698";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Misamis Occidental";"Magsaysay";"";"";"8908";"August 1989";"White";"8° 19′ 48″";"123° 42′ 0″";"8.330000";"123.700000";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"516";"2609";"1699";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Zamboanga del Norte";"Salug";"Danao";"";"8908";"August 1989";"White";"8° 6′ 25.2″";"122° 45′ 25.2″";"8.106900";"122.756900";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"517";"2610";"1700";"";"";"";"Pioneer Hi-Bred Int'l";"Z. mays L. ";"Philippines";"Leyte";"Capatqan";"Antipolo";"";"8908";"August 1989";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1182";"2611";"1701";"";"CBR (HS) BULK C-Z LB 87 WS";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8911";"November 1989";"Yellow";"10° 58' 0";"124° 43' 0";"10.966700";"124.716700";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1183";"2612";"1702";"";"XV4 (HS) C5 MALE SELECTED LB 87A";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1989";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1184";"2613";"1703";"";"XV2 (HS) C6 BULK LB 879";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1990";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1185";"2614";"1704";"";"XV5 (SIB) SUWAN 2 BULK LB 8807 WS";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1991";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1186";"2615";"1705";"";"XV2 XXX4 (HS) CAP-2 BULK LB 86B";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1992";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1187";"2616";"1706";"";"XX1 REMNANTS BULK";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1993";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1188";"2617";"1707";"";"CAGUA 8425";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1994";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"1189";"2618";"1708";"";"IPB WHITE SWEET CORN";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"8912";"December 1989";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1190";"2619";"1709";"";"PAEC Yellow GLUTINOUS";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1990";"Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1191";"2620";"1710";"";"PALMERA 8425";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1991";"White";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1192";"2621";"1711";"";"CMB 8704";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1992";"Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1193";"2622";"1712";"";"SUWAN 2 S1 BULK LB 85-86 DS";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1993";"Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1194";"2623";"1713";"";"XV1 FS LB 88 DS";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1994";"Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1195";"2624";"1714";"";"CBR X VAR1 BC2";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1995";"Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1196";"2625";"1715";"";"XV4 (HS) CC (DECOMB) BULK";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1996";"White";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1197";"2626";"1716";"";"XV2 (HS) C4 (CCY-DMR-SRR) CMU83";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1997";"White";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1198";"2627";"1717";"";"BATANGAS SWEET";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1998";"White";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1199";"2628";"1718";"";"IPB Yellow GLUTINOUS";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 1999";"Green/Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1200";"2629";"1719";"";"JARDINOPOLIS 8336";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"";"";"";"";"8912";"December 2000";"Yellow";"14° 35′ 0″ N";" 120° 58′ 0″ E";"14.583333";"120.966667";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1201";"2630";"1720";"";"NIORO (1) 8432";"";"IPB Corn Breeding";"Z. mays L. ";"Philippines";"Laguna";"Los Baños";"";"";"8912";"December 1989";"White";"14° 10′ 0″";"121° 13′ 0″";"14.166700";"121.216700";"";"";"";"";"";"";"";"";"";"";"";"";"Traditional"
"1202";"2631";"1721";"";"DELHI (1) 8336";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1990";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1203";"2632";"1722";"";"PIURA  8336";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1991";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1204";"2633";"1723";"";"PIURA  (1) 8336";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1992";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1205";"2634";"1724";"";"ACROSS 7632 RE";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1993";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1206";"2635";"1725";"";"ACROSS 8336";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1994";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1207";"2636";"1726";"";"POZA RICA 8336";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1995";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1208";"2637";"1727";"";"FARAKOBA 8549";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1996";"White";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
"1209";"2638";"1728";"";"MUNENG 8427";"";"IPB Corn Breeding";"Z. mays L. ";"";"";"";"";"";"8912";"December 1997";"Yellow";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Introduced"
