"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/VARIETY NAME/PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT COLL.";"PROV/STATE";"TOWN";"BARANGAY";"SITIO";"";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"LAT";"LONG";"ALTITUDE";"COLLECTING  SOURCE";"GENETIC  STATUS";"SAMPLE  TYPE";"SAMPLING METHOD";"MATERIAL COLLECTED";"TOPOGRAPHY";"SITE";"SOIL TEXTURE";"DRAINAGE";"SOIL COLOR";"STONINESS";"NOTE"
"9902";"340";"172";"";"EL SALVADOR 63";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9903";"341";"173";"";"EL SALVADOR 64";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9904";"342";"174";"";"EL SALVADOR 85";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9905";"344";"175";"";"EL SALVADOR 108";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9906";"345";"176";"";"EL SALVADOR 89";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9907";"346";"177";"";"EL SALVADOR 99";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9908";"347";"178";"";"EL SALVADOR 46";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9909";"348";"179";"";"EL SALVADOR 98";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"White";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9910";"349";"180";"";"EL SALVADOR 105";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"Yellow";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9911";"350";"181";"";"EL SALVADOR 94";"";"CIMMYT";"Z. mays L. ";"El Salvador";"";"";"";"";"";"";"Purple";"13° 49' 59"" N";"88° 55' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9912";"351";"182";"";"NICARAGUA 55";"";"CIMMYT";"Z. mays L. ";"Nicaragua";"";"";"";"";"";"";"White";"13° 0' 0"" N";"85° 0' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
"9913";"352";"183";"";"NICARAGUA 62";"";"CIMMYT";"Z. mays L. ";"Nicaragua";"";"";"";"";"";"";"White";"13° 0' 0"" N";"85° 0' 0"" W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Unclassified"
