"PHL_NO.";"OLD ACC_NO";"GB_NO";"DAYS_EMER";"DAYS_TASS";"DAYS_SILK";"DAYS_HARV";"TIL_INDX_A";"STEMCOL";"SHEATHPUB";"LVS_TOT_A";"LEAFLNTH_A";"LEAFWDTH_A";"LEAFORIENT";"PRESLFLIG";"VENINDEX";"TASSTYPE";"SILKCOLOR";"TASSCOLOR";"PLTHGHT_A";"EARHGHT_A";"FOLIAGE";"NO_LEA_A_A";"NO_LEA_B_A";"NO_INT_B_A";"NO_INT_W_A";"STMDIABA_A";"STMDIABE_A";"TAS_LNTH_A";"TAPED_LT_A";"TAS_BSPA_A";"NO_PBTAS_A";"NO_SBTAS_A";"NO_TBTAS_A";"STAYGREEN";"DAYS_EL_SN";"STALKLOD";"EARHUSKCO";"EARHUSKFIT";"EARHUSKTS";"EARSHAPE";"EARTIPSHPE";"EAR_ORIENT";"EARLNTH_A";"EARDIAM_A";"COBDIAM_A";"RACDIAM_A";"PEDLNTH_A";"NO_BRCTS_A";"KER_RW_ARR";"NO_K_ROW_A";"NO_K_PRW_A";"COBCOLOR";"PERCENT_GS";"KERNEL_TYP";"KERNEL_COL";"KER_LNT_A";"KER_WDT_A";"KER_THK_A";"SHAPE_UKS";"PER_COLOR";"ALE_COLOR";"END_COLOR";"UNSH_WGT_A";"SHEL_WGT_A";"KERWGT1000";"SHELL_PC";"";""
"9929";"370";"199";"5";"";"59";"105";"0.00";"4";"3";"14.20";"0.00";"0.00";"1";"1";"0.00";"2";"4 1";"1";"0.00";"0.00";"";"6.50";"8.40";"7.90";"14.60";"0.00";"0.00";"30.34";"20.61";"12.61";"20.00";"4.90";"0.00";"3";"0";"";"";"";"";"2";"5";"3";"13.24";"4.36";"2.98";"1.97";"4.59";"8.90";"1";"12.40";"20.80";"1";"0.00";"2 4 5";"2 6";"9.17";"9.51";"4.06";"4 3";"";"";"";"91.40";"71.24";"286.34";"77.94";"";""
"9931";"372";"201";"5";"";"60";"106";"1.25";"4";"7";"15.00";"0.00";"0.00";"1";"1";"0.00";"2";"4";"3 1";"0.00";"0.00";"";"7.20";"8.90";"7.90";"14.10";"0.00";"0.00";"32.57";"15.53";"13.29";"20.20";"7.00";"0.30";"3";"0";"";"";"";"9";"1";"9";"3";"14.05";"4.19";"2.66";"1.58";"8.63";"9.70";"3";"12.66";"24.33";"1";"0.00";"3 4 5";"2 6 1";"9.04";"10.12";"4.48";"3 4";"";"";"";"88.58";"69.20";"281.49";"78.03";"";""
"9940";"383";"210";"6";"";"59";"107";"1.25";"1 4";"7";"14.60";"0.00";"0.00";"1";"1";"0.00";"2";"4";"1";"0.00";"0.00";"";"7.20";"8.10";"8.00";"14.30";"0.00";"0.00";"31.50";"17.33";"12.41";"17.83";"5.50";"0.00";"3";"0";"";"";"";"5";"1";"5";"3";"14.19";"3.89";"2.44";"1.44";"8.31";"10.30";"1";"12.20";"28.20";"1 4";"0.00";"4 3 6";"3 2 6";"8.73";"9.39";"4.09";"2 3";"";"";"";"80.92";"65.80";"220.08";"81.31";"";""
"9945";"388";"215";"5";"";"55";"101";"1.00";"4";"7";"12.70";"0.00";"0.00";"1";"1";"0.00";"3";"";"1";"0.00";"0.00";"";"6.20";"8.00";"6.60";"11.70";"0.00";"0.00";"30.09";"22.31";"13.18";"16.66";"4.22";"0.11";"3";"0";"";"";"";"9";"1";"5";"1";"13.30";"3.93";"2.34";"1.32";"5.47";"10.20";"1";"12.20";"24.70";"1";"0.00";"3 1 4";"1 8";"10.31";"8.51";"3.93";"2";"";"";"";"83.36";"70.18";"233.84";"84.18";"";""
"9953";"398";"223";"5";"";"66";"112";"1.55";"4 1";"7";"15.70";"0.00";"0.00";"1";"1";"0.00";"2";"1";"1";"0.00";"0.00";"";"6.50";"9.90";"8.90";"14.60";"0.00";"0.00";"36.33";"21.11";"13.74";"17.66";"6.80";"0.00";"3";"0";"";"";"";"9";"2";"9";"1";"12.63";"4.07";"2.54";"1.61";"4.36";"9.00";"1";"12.00";"23.20";"1";"0.00";"5 6 4";"2 6";"9.68";"9.63";"3.95";"2 4";"";"";"";"83.62";"67.81";"286.12";"81.19";"";""
"10023";"478";"293";"6";"";"56";"102";"1.00";"4 1";"7";"12.60";"0.00";"0.00";"1";"1";"0.00";"";"1";"1";"0.00";"0.00";"";"6.50";"7.30";"6.50";"12.00";"0.00";"0.00";"29.16";"16.66";"8.57";"11.80";"2.60";"0.00";"3";"0";"";"";"";"";"2";"5";"1";"13.18";"3.52";"2.08";"1.12";"5.04";"8.60";"1";"11.60";"28.60";"1";"0.00";"5 4 6";"3 6 2";"9.69";"8.80";"0.38";"2";"";"";"";"78.74";"66.64";"227.81";"84.63";"";""
"10087";"550";"357";"6";"";"70";"116";"0.00";"1";"3";"10.60";"0.00";"0.00";"1";"1";"0.00";"";"1";"1";"0.00";"0.00";"";"5.00";"6.40";"5.00";"9.40";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"3";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"";""
"10088";"551";"358";"5";"";"63";"109";"0.00";"4 1";"5";"11.20";"0.00";"0.00";"1";"1";"0.00";"3";"1";"1 3";"0.00";"0.00";"";"5.30";"7.50";"6.80";"10.90";"0.00";"0.00";"31.12";"21.21";"12.38";"18.00";"6.20";"0.90";"3";"0";"";"";"";"9";"1";"5";"1";"13.64";"3.51";"2.31";"1.55";"8.04";"8.70";"1";"11.75";"22.50";"1";"0.00";"6";"3 2 5";"7.96";"8.51";"4.32";"4";"";"";"";"71.65";"58.21";"213.67";"81.24";"";""
"10161";"724";"431";"5";"";"48";"94";"1.25";"1 4";"7";"12.70";"0.00";"0.00";"1";"1";"0.00";"2";"";"2";"0.00";"0.00";"";"6.80";"6.70";"6.70";"6.00";"11.60";"0.00";"28.29";"21.15";"12.17";"18.80";"5.30";"0.00";"3";"0";"";"";"";"5";"2";"5";"3";"13.55";"4.64";"2.83";"1.76";"5.77";"11.00";"1";"12.00";"25.10";"1";"0.00";"1 4 6";"1";"11.10";"10.44";"4.04";"2 3";"";"";"";"108.37";"88.82";"304.54";"81.95";"";""
"10168";"733";"438";"5";"";"48";"84";"1.25";"1";"5";"11.40";"0.00";"0.00";"1";"1";"0.00";"2";"";"1";"0.00";"0.00";"";"6.40";"6.50";"5.50";"10.70";"0.00";"0.00";"31.47";"22.15";"11.69";"12.90";"4.90";"0.40";"3";"0";"";"";"";"9";"2";"9";"3";"14.27";"3.86";"2.33";"1.31";"6.32";"9.10";"1";"9.80";"24.10";"1 3";"0.00";"1 2 3";"1";"9.90";"10.52";"4.59";"2";"";"";"";"86.44";"73.77";"305.29";"85.34";"";""
