"PHL_NO.";"OLD ACC_NO";"GB_NO";"DAYS_EMER";"DAYS_TASS";"DAYS_SILK";"DAYS_HARV";"TIL_INDX_A";"STEMCOL";"SHEATHPUB";"LVS_TOT_A";"LEAFLNTH_A";"LEAFWDTH_A";"LEAFORIENT";"PRESLFLIG";"VENINDEX";"TASSTYPE";"SILKCOLOR";"TASSCOLOR";"PLTHGHT_A";"EARHGHT_A";"FOLIAGE";"NO_LEA_A_A";"NO_LEA_B_A";"NO_INT_B_A";"NO_INT_W_A";"STMDIABA_A";"STMDIABE_A";"TAS_LNTH_A";"TAPED_LT_A";"TAS_BSPA_A";"NO_PBTAS_A";"NO_SBTAS_A";"NO_TBTAS_A";"STAYGREEN";"DAYS_EL_SN";"STALKLOD";"EARHUSKCO";"EARHUSKFIT";"EARHUSKTS";"EARSHAPE";"EARTIPSHPE";"EAR_ORIENT";"EARLNTH_A";"EARDIAM_A";"COBDIAM_A";"RACDIAM_A";"PEDLNTH_A";"NO_BRCTS_A";"KER_RW_ARR";"NO_K_ROW_A";"NO_K_PRW_A";"COBCOLOR";"PERCENT_GS";"KERNEL_TYP";"KERNEL_COL";"KER_LNT_A";"KER_WDT_A";"KER_THK_A";"SHAPE_UKS";"PER_COLOR";"ALE_COLOR";"END_COLOR";"UNSH_WGT_A";"SHEL_WGT_A";"KERWGT1000";"SHELL_PC";"";""
"490";"2583";"1673";"7";"";"50";"87";"0.00";"";"";"0.00";"75.20";"7.46";"";"";"0.00";"";"";"";"188.20";"89.60";"";"4.40";"6.80";"7.00";"6.00";"0.00";"0.00";"29.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"12.02";"3.94";"0.00";"0.00";"0.00";"0.00";"";"13.50";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"451.56";"353.27";"184.38";"78.23";"";""
"491";"2584";"1674";"7";"";"50";"87";"0.00";"";"";"0.00";"82.00";"7.70";"";"";"0.00";"";"";"";"197.00";"87.00";"";"5.60";"7.00";"7.40";"6.60";"0.00";"0.00";"28.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"10.73";"3.90";"0.00";"0.00";"0.00";"0.00";"";"15.33";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"223.83";"170.27";"182.98";"76.07";"";""
"492";"2585";"1675";"7";"";"50";"87";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"0.00";"";"";"";"0.00";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"424.10";"284.27";"191.65";"67.03";"";""
"493";"2586";"1676";"7";"";"50";"87";"0.00";"";"";"0.00";"74.00";"7.10";"";"";"0.00";"";"";"";"190.60";"84.20";"";"5.60";"7.20";"6.80";"5.60";"0.00";"0.00";"25.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"10.94";"3.65";"0.00";"0.00";"0.00";"0.00";"";"14.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"361.11";"284.58";"123.71";"78.81";"";""
"494";"2587";"1677";"7";"";"50";"87";"0.00";"";"";"0.00";"80.60";"8.52";"";"";"0.00";"";"";"";"220.40";"108.60";"";"5.00";"7.40";"8.00";"5.80";"0.00";"0.00";"29.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"3";"5";"";"10.76";"3.76";"0.00";"0.00";"0.00";"0.00";"";"14.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"806.70";"594.59";"172.84";"73.71";"";""
"1182";"2611";"1701";"7";"";"54";"99";"0.00";"";"";"0.00";"79.20";"8.08";"";"";"0.00";"";"";"";"193.40";"78.00";"";"5.40";"6.60";"6.60";"5.60";"0.00";"0.00";"33.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"18.82";"4.54";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"729.62";"511.90";"276.42";"70.16";"";""
"1183";"2612";"1702";"7";"";"54";"99";"0.00";"";"";"0.00";"79.60";"9.12";"";"";"0.00";"";"";"";"191.60";"71.40";"";"6.20";"6.80";"7.00";"7.20";"0.00";"0.00";"32.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"17.10";"4.92";"0.00";"0.00";"0.00";"0.00";"";"12.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"663.25";"490.45";"279.40";"73.95";"";""
"1184";"2613";"1703";"7";"";"50";"99";"0.00";"";"";"0.00";"83.20";"8.52";"";"";"0.00";"";"";"";"190.80";"85.00";"";"6.40";"6.60";"7.40";"6.20";"0.00";"0.00";"32.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"18.10";"4.63";"0.00";"0.00";"0.00";"0.00";"";"13.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"843.62";"588.78";"298.46";"69.79";"";""
"1185";"2614";"1704";"7";"";"48";"87";"0.00";"";"";"0.00";"78.20";"6.90";"";"";"0.00";"";"";"";"197.80";"62.40";"";"5.40";"6.20";"7.20";"6.40";"0.00";"0.00";"26.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"13.04";"4.29";"0.00";"0.00";"0.00";"0.00";"";"13.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"929.70";"711.40";"245.23";"76.52";"";""
"1186";"2615";"1705";"7";"";"50";"99";"0.00";"";"";"0.00";"83.20";"8.30";"";"";"0.00";"";"";"";"200.60";"81.80";"";"5.40";"6.80";"7.40";"7.40";"0.00";"0.00";"32.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"17.00";"4.69";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"987.70";"719.10";"234.52";"72.81";"";""
"1187";"2616";"1706";"7";"";"52";"99";"0.00";"";"";"0.00";"72.33";"7.40";"";"";"0.00";"";"";"";"185.00";"58.20";"";"5.60";"6.00";"6.80";"6.40";"0.00";"0.00";"25.33";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.80";"4.66";"0.00";"0.00";"0.00";"0.00";"";"13.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"711.50";"523.95";"267.38";"73.64";"";""
"1188";"2617";"1707";"7";"";"54";"99";"0.00";"";"";"0.00";"78.20";"8.32";"";"";"0.00";"";"";"";"205.20";"79.00";"";"6.80";"7.00";"8.00";"7.20";"0.00";"0.00";"26.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"17.54";"5.03";"0.00";"0.00";"0.00";"0.00";"";"16.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"995.58";"697.78";"265.11";"70.09";"";""
"1189";"2618";"1708";"7";"";"49";"87";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"0.00";"";"";"";"0.00";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"77.85";"405.57";"0.00";"52.21";"";""
"1190";"2619";"1709";"7";"";"49";"87";"0.00";"";"";"0.00";"72.60";"5.96";"";"";"0.00";"";"";"";"152.20";"65.40";"";"5.20";"6.20";"7.00";"6.00";"0.00";"0.00";"25.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"246.62";"186.60";"167.78";"75.66";"";""
"1191";"2620";"1710";"7";"";"55";"99";"0.00";"";"";"0.00";"81.20";"7.96";"";"";"0.00";"";"";"";"200.20";"74.20";"";"6.20";"7.40";"7.20";"7.40";"0.00";"0.00";"30.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"18.30";"4.76";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"851.45";"584.55";"287.52";"68.65";"";""
"1192";"2621";"1711";"7";"";"45";"87";"0.00";"";"";"0.00";"74.60";"6.60";"";"";"0.00";"";"";"";"181.20";"61.00";"";"5.80";"6.20";"7.00";"6.20";"0.00";"0.00";"26.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"285.40";"230.97";"157.04";"80.93";"";""
"1193";"2622";"1712";"7";"";"54";"87";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"0.00";"";"";"";"0.00";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.54";"4.38";"0.00";"0.00";"0.00";"0.00";"";"12.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"636.20";"443.65";"226.68";"69.73";"";""
"1194";"2623";"1713";"7";"";"55";"99";"0.00";"";"";"0.00";"83.00";"7.60";"";"";"0.00";"";"";"";"184.60";"71.40";"";"7.40";"7.00";"8.20";"7.40";"0.00";"0.00";"32.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.75";"4.07";"0.00";"0.00";"0.00";"0.00";"";"11.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"586.52";"359.52";"267.23";"61.30";"";""
"1195";"2624";"1714";"7";"";"52";"99";"0.00";"";"";"0.00";"82.40";"8.74";"";"";"0.00";"";"";"";"199.20";"93.80";"";"6.00";"7.40";"8.80";"7.00";"0.00";"0.00";"30.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.88";"4.65";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"565.78";"409.15";"302.87";"72.31";"";""
"1196";"2625";"1715";"7";"";"52";"99";"0.00";"";"";"0.00";"87.40";"8.32";"";"";"0.00";"";"";"";"184.40";"80.00";"";"7.40";"7.40";"8.60";"7.40";"0.00";"0.00";"29.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.24";"4.98";"0.00";"0.00";"0.00";"0.00";"";"14.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"634.22";"455.85";"296.46";"71.88";"";""
"1197";"2626";"1716";"7";"";"55";"99";"0.00";"";"";"0.00";"82.80";"9.34";"";"";"0.00";"";"";"";"208.80";"75.80";"";"6.60";"7.40";"8.00";"7.60";"0.00";"0.00";"32.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"18.00";"4.61";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"628.18";"441.42";"213.95";"70.27";"";""
"1198";"2627";"1717";"7";"";"53";"87";"0.00";"";"";"0.00";"84.00";"8.06";"";"";"0.00";"";"";"";"205.20";"89.60";"";"6.00";"5.80";"6.40";"5.60";"0.00";"0.00";"28.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"13.80";"4.15";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"937.00";"575.85";"163.77";"61.46";"";""
"1199";"2628";"1718";"7";"";"49";"87";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"0.00";"";"";"";"0.00";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"200.00";"128.36";"157.56";"64.18";"";""
"1200";"2629";"1719";"7";"";"50";"99";"0.00";"";"";"0.00";"78.80";"7.72";"";"";"0.00";"";"";"";"198.60";"75.80";"";"7.20";"7.20";"6.60";"7.60";"0.00";"0.00";"30.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.04";"4.57";"0.00";"0.00";"0.00";"0.00";"";"11.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"895.10";"649.10";"311.13";"72.52";"";""
"1201";"2630";"1720";"7";"";"57";"99";"0.00";"";"";"0.00";"79.40";"8.32";"";"";"0.00";"";"";"";"169.20";"48.40";"";"6.40";"6.00";"6.60";"6.40";"0.00";"0.00";"35.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.00";"4.42";"0.00";"0.00";"0.00";"0.00";"";"15.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"650.12";"453.75";"247.20";"69.79";"";""
"1202";"2631";"1721";"7";"";"55";"97";"0.00";"";"";"0.00";"84.60";"7.52";"";"";"0.00";"";"";"";"166.60";"56.00";"";"6.40";"5.60";"6.60";"5.80";"0.00";"0.00";"29.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.00";"4.57";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"628.85";"466.45";"235.31";"74.18";"";""
"1203";"2632";"1722";"7";"";"55";"97";"0.00";"";"";"0.00";"80.80";"7.92";"";"";"0.00";"";"";"";"183.20";"69.60";"";"6.20";"6.40";"7.40";"6.20";"0.00";"0.00";"31.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.50";"4.70";"0.00";"0.00";"0.00";"0.00";"";"13.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"658.70";"500.50";"276.41";"75.98";"";""
"1204";"2633";"1723";"7";"";"55";"97";"0.00";"";"";"0.00";"88.40";"9.60";"";"";"0.00";"";"";"";"189.40";"76.00";"";"5.80";"6.80";"7.80";"5.80";"0.00";"0.00";"33.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"14.80";"4.68";"0.00";"0.00";"0.00";"0.00";"";"13.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"826.10";"610.90";"283.06";"73.95";"";""
"1205";"2634";"1724";"7";"";"55";"97";"0.00";"";"";"0.00";"83.00";"8.92";"";"";"0.00";"";"";"";"197.00";"79.60";"";"5.60";"6.40";"7.80";"6.00";"0.00";"0.00";"33.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.66";"4.59";"0.00";"0.00";"0.00";"0.00";"";"14.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"559.60";"414.70";"278.98";"74.11";"";""
"1206";"2635";"1725";"7";"";"55";"97";"0.00";"";"";"0.00";"83.20";"7.52";"";"";"0.00";"";"";"";"194.80";"74.00";"";"6.40";"6.40";"7.60";"6.60";"0.00";"0.00";"30.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.80";"4.34";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"755.05";"563.60";"253.23";"74.64";"";""
"1207";"2636";"1726";"7";"";"55";"97";"0.00";"";"";"0.00";"87.00";"8.40";"";"";"0.00";"";"";"";"182.40";"66.60";"";"5.80";"6.20";"7.40";"6.20";"0.00";"0.00";"30.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.88";"4.59";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"645.45";"462.20";"303.84";"70.62";"";""
"1208";"2637";"1727";"7";"";"55";"";"0.00";"";"";"0.00";"75.00";"7.32";"";"";"0.00";"";"";"";"179.80";"58.00";"";"6.20";"5.00";"7.00";"6.80";"0.00";"0.00";"31.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"1";"";"14.60";"4.64";"0.00";"0.00";"0.00";"0.00";"";"13.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"770.85";"569.35";"295.26";"73.86";"";""
"1209";"2638";"1728";"7";"";"55";"97";"0.00";"";"";"0.00";"87.00";"9.00";"";"";"0.00";"";"";"";"220.00";"83.20";"";"6.20";"6.80";"7.60";"6.80";"0.00";"0.00";"34.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"17.88";"4.74";"0.00";"0.00";"0.00";"0.00";"";"14.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"612.58";"430.35";"295.92";"70.25";"";""
"1210";"2639";"1729";"7";"";"55";"97";"0.00";"";"";"0.00";"89.00";"8.10";"";"";"0.00";"";"";"";"211.20";"78.20";"";"5.80";"6.80";"7.80";"6.22";"0.00";"0.00";"36.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.30";"4.58";"0.00";"0.00";"0.00";"0.00";"";"12.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"693.30";"491.25";"262.68";"70.86";"";""
"1211";"2640";"1730";"7";"";"55";"97";"0.00";"";"";"0.00";"80.40";"7.78";"";"";"0.00";"";"";"";"190.60";"78.40";"";"5.60";"7.00";"7.40";"6.80";"0.00";"0.00";"28.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.96";"4.52";"0.00";"0.00";"0.00";"0.00";"";"12.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"675.08";"500.25";"243.10";"74.10";"";""
"1212";"2641";"1731";"7";"";"55";"97";"0.00";"";"";"0.00";"87.20";"7.90";"";"";"0.00";"";"";"";"203.60";"72.60";"";"5.80";"6.80";"7.00";"6.60";"0.00";"0.00";"29.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.30";"4.84";"0.00";"0.00";"0.00";"0.00";"";"13.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"802.95";"564.05";"220.35";"70.25";"";""
"1213";"2642";"1732";"7";"";"54";"87";"0.00";"";"";"0.00";"79.20";"6.40";"";"";"0.00";"";"";"";"189.00";"64.80";"";"5.00";"6.60";"6.40";"5.60";"0.00";"0.00";"29.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"192.46";"108.68";"194.08";"56.47";"";""
"1214";"2643";"1733";"7";"";"46";"87";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"0.00";"";"";"";"0.00";"0.00";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"10.32";"3.61";"0.00";"0.00";"0.00";"0.00";"";"10.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"193.60";"157.00";"95.33";"81.33";"";""
"1215";"2644";"1734";"7";"";"55";"97";"0.00";"";"";"0.00";"87.20";"8.40";"";"";"0.00";"";"";"";"192.60";"82.40";"";"6.60";"7.00";"7.40";"7.80";"0.00";"0.00";"30.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"390.72";"248.09";"229.32";"63.50";"";""
"1216";"2645";"1735";"7";"";"55";"97";"0.00";"";"";"0.00";"93.00";"8.38";"";"";"0.00";"";"";"";"237.00";"114.00";"";"6.40";"8.00";"6.40";"5.00";"0.00";"0.00";"30.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"14.70";"4.50";"0.00";"0.00";"0.00";"0.00";"";"12.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"874.70";"672.20";"268.35";"76.85";"";""
"1217";"2646";"1736";"7";"";"46";"87";"0.00";"";"";"0.00";"82.40";"7.24";"";"";"0.00";"";"";"";"191.00";"70.80";"";"6.20";"6.80";"6.60";"7.40";"0.00";"0.00";"28.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"14.66";"4.89";"0.00";"0.00";"0.00";"0.00";"";"13.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"579.40";"428.95";"236.93";"74.03";"";""
"1218";"2647";"1737";"7";"";"55";"97";"0.00";"";"";"0.00";"85.60";"8.44";"";"";"0.00";"";"";"";"201.00";"70.60";"";"5.80";"6.60";"6.40";"6.80";"0.00";"0.00";"33.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"13.90";"4.29";"0.00";"0.00";"0.00";"0.00";"";"13.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"591.25";"407.50";"244.90";"68.92";"";""
"1219";"2648";"1738";"7";"";"55";"97";"0.00";"";"";"0.00";"77.40";"8.36";"";"";"0.00";"";"";"";"173.40";"71.60";"";"5.20";"7.00";"7.20";"7.00";"0.00";"0.00";"33.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.72";"4.59";"0.00";"0.00";"0.00";"0.00";"";"14.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"793.35";"577.30";"275.77";"72.77";"";""
"1220";"2649";"1739";"7";"";"54";"97";"0.00";"";"";"0.00";"77.00";"8.18";"";"";"0.00";"";"";"";"179.40";"58.80";"";"6.80";"6.60";"6.40";"7.20";"0.00";"0.00";"28.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.65";"4.66";"0.00";"0.00";"0.00";"0.00";"";"14.50";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"740.03";"480.22";"273.41";"64.87";"";""
"1221";"2650";"1740";"7";"";"55";"97";"0.00";"";"";"0.00";"75.80";"7.04";"";"";"0.00";"";"";"";"198.80";"73.20";"";"6.60";"6.80";"6.80";"7.60";"0.00";"0.00";"27.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"";"";"";"0.00";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0.00";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"524.06";"344.69";"271.10";"65.77";"";""
"1222";"2651";"1741";"7";"";"55";"97";"0.00";"";"";"0.00";"95.00";"9.04";"";"";"0.00";"";"";"";"205.60";"73.00";"";"7.20";"6.80";"7.60";"7.40";"0.00";"0.00";"32.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"18.00";"4.56";"0.00";"0.00";"0.00";"0.00";"";"14.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"658.55";"459.10";"255.77";"69.71";"";""
"1223";"2652";"1742";"7";"";"45";"97";"0.00";"";"";"0.00";"73.60";"6.30";"";"";"0.00";"";"";"";"173.60";"56.80";"";"5.40";"5.20";"6.60";"6.40";"0.00";"0.00";"28.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"13.50";"4.74";"0.00";"0.00";"0.00";"0.00";"";"14.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"578.90";"464.55";"207.43";"80.25";"";""
"1224";"2653";"1743";"7";"";"55";"97";"0.00";"";"";"0.00";"86.20";"8.36";"";"";"0.00";"";"";"";"191.60";"66.00";"";"7.20";"6.00";"6.80";"7.60";"0.00";"0.00";"32.60";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"18.74";"4.57";"0.00";"0.00";"0.00";"0.00";"";"12.40";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"535.98";"373.65";"300.46";"69.71";"";""
"1225";"2654";"1744";"7";"";"55";"97";"0.00";"";"";"0.00";"93.20";"8.70";"";"";"0.00";"";"";"";"193.20";"65.60";"";"5.80";"5.60";"6.80";"6.20";"0.00";"0.00";"32.80";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"17.34";"4.50";"0.00";"0.00";"0.00";"0.00";"";"12.80";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"796.10";"540.30";"268.59";"67.87";"";""
"1226";"2655";"1745";"7";"";"55";"97";"0.00";"";"";"0.00";"85.60";"8.16";"";"";"0.00";"";"";"";"184.80";"66.00";"";"5.80";"6.40";"7.00";"6.40";"0.00";"0.00";"34.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"15.12";"4.49";"0.00";"0.00";"0.00";"0.00";"";"11.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"841.40";"633.30";"295.91";"75.27";"";""
"1227";"2656";"1746";"7";"";"45";"97";"0.00";"";"";"0.00";"87.20";"7.08";"";"";"0.00";"";"";"";"174.00";"54.40";"";"6.60";"6.60";"7.20";"7.20";"0.00";"0.00";"32.20";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"5";"";"16.40";"4.65";"0.00";"0.00";"0.00";"0.00";"";"13.20";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"538.40";"382.05";"285.76";"70.96";"";""
"1228";"2657";"1747";"7";"";"54";"97";"0.00";"";"";"0.00";"85.60";"8.28";"";"";"0.00";"";"";"";"195.60";"80.40";"";"6.20";"7.00";"7.80";"7.00";"0.00";"0.00";"33.40";"0.00";"0.00";"0.00";"0.00";"0.00";"";"0";"";"";"";"";"1";"1";"";"15.40";"5.06";"0.00";"0.00";"0.00";"0.00";"";"15.60";"0.00";"";"0.00";"";"";"0.00";"0.00";"0.00";"";"";"";"";"625.32";"450.42";"289.05";"72.03";"";""
