"PHL NO.";"OLD ACC. NO.";"GB NO.";"COLLECTING No.";"CULTIVAR/                VARIETY NAME/     PEDIGREE";"DIALECT";"SOURCE/ GROWER";"SCIENTIFIC NAME";"COUNT          COLL.";"PROV";"TOWN";"BARANGAY";"SITIO";"ACQ. DATE";"REMARKS";"LATITUDE";"LONGITUDE";"ALTITUDE";"COLL SOURCE";"GEN STAT";"SAM TYPE";"SAM MET";"MAT";"TOPO";"SITE";"SOIL TEX";"DRAIN";"SOIL COL";"STON"
"334";"2544";"1634";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"";"";"";"8905";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"335";"2720";"1810";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"";"";"";"9104";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"336";"2545";"1635";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"ROXAS";"SAN JOSE";"";"8905";"YLW/LT PUR/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"337";"2546";"1636";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"ROXAS";"SAN JOSE";"";"8905";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"338";"2547";"1637";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"PUERTO PRINCESA";"BACUNGAN";"";"8905";"YLW/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"339";"2548";"1638";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"RODOLFO TANIS";"";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"340";"2549";"1639";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"RODOLFO TANIS";"";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"341";"2550";"1640";"";"";"";"";"Z. mays L. ";"PHL";"PAL";"QUEZON";"TAGBAI";"";"8905";"LT PUR/YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"342";"2551";"1641";"";"MALAGKIT SALT";"";"";"Z. mays L. ";"PHL";"PAL";"PUAS DORO";"BONO BOUI";"";"8905";"GR/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"343";"2552";"1642";"";"BATIK";"";"";"Z. mays L. ";"PHL";"PAL";"";"LARASA";"";"8905";"YLW/LT PUR/STR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"344";"2553";"1643";"";"";"";"BENEDICTO MACOLA";"Z. mays L. ";"PHL";"PAL";"";"LULUNGAN, SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"345";"2554";"1644";"";"";"";"";"Z. mays L. ";"PHL";"ILO";"LAMBUNAO";"PASIG";"";"8905";"YLW/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"346";"2555";"1645";"";"PILIT";"";"";"Z. mays L. ";"PHL";"ILO";"LAMBUNAO";"PASIG";"";"8905";"WHT/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"347";"2556";"1646";"";"MALAGKIT";"";"FILOMINO HERANIS";"Z. mays L. ";"PHL";"PAL";"BROOKES POINT";"SARASA";"";"8905";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"348";"2557";"1647";"";"SAPNIT";"";"BENEDICTO MACOLA";"Z. mays L. ";"PHL";"PAL";"BROOKES POINT";"LULUNGAN, SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"349-1";"2558";"1648";"";"MACAGTING";"";"BENEDICTO MACOLA";"Z. mays L.";"PHL";"PAL";"BROOKES POINT";"LULUNGAN, SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"349-2";"2559";"1649";"";"MACAGTING";"";"BENEDICTO MACOLA";"Z. mays L.";"PHL";"PAL";"BROOKES POINT";"LULUNGAN, SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"349-3";"2560";"1650";"";"MACAGTING";"";"BENEDICTO MACOLA";"Z. mays L.";"PHL";"PAL";"BROOKES POINT";"LULUNGAN, SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"349-4";"2561";"1651";"";"MACAGTING";"";"BENEDICTO MACOLA";"Z. mays L.";"PHL";"PAL";"BROOKES POINT";"LULUNGAN, SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"350-1";"2562";"1652";"";"";"";"";"Z. mays L.";"PHL";"PAL";"NIXON";"QUEZON";"";"8905";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"350-2";"2563";"1653";"";"";"";"";"Z. mays L.";"PHL";"PAL";"NIXON";"QUEZON";"";"8905";"LT PUR/YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"350-3";"2564";"1654";"";"";"";"";"Z. mays L.";"PHL";"PAL";"NIXON";"QUEZON";"";"8905";"LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"350-4";"2565";"1655";"";"";"";"";"Z. mays L.";"PHL";"PAL";"NIXON";"QUEZON";"";"8905";"LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"351-1";"2566";"1656";"";"SAPNIT";"";"";"Z. mays L.";"PHL";"PAL";"";"SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"351-2";"2567";"1657";"";"SAPNIT";"";"";"Z. mays L.";"PHL";"PAL";"";"SARASA";"";"8905";"YLE.LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"351-3";"2568";"1658";"";"SAPNIT";"";"";"Z. mays L.";"PHL";"PAL";"";"SARASA";"";"8905";"PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"351-4";"2569";"1659";"";"SAPNIT";"";"";"Z. mays L.";"PHL";"PAL";"";"SARASA";"";"8905";"YLW";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"352";"2570";"1660";"";"";"";"";"Z. mays L. ";"PHL";"ILO";"BAROTAC NUEVO";"";"";"8905";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"478";"2571";"1661";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ADS";"";"ANDAN";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"479";"2572";"1662";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"";"TUGAS, KABURIAO";"";"8908";"YLW/WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"480";"2573";"1663";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"DAV";"PANABO";"";"";"8908";"WHT/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"481";"2574";"1664";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"MARAMAG";"";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"482";"2575";"1665";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"ZDN";"SALUG";"TAMBULING";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"483";"2576";"1666";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"PALOPACO";"ZIGZAG";"";"8908";"WHT/LT PUR";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"484";"2577";"1667";"";"";"";"PIONEER HI-BRED INT’L.";"Z. mays L. ";"PHL";"BUK";"";"LALOÑA";"";"8908";"WHT";"";"";"";"";"";"";"";"";"";"";"";"";"";""
