"PHL NO.";"DAYS_EMER";"Column1";"";"DAYS_TASS";"Column1";"";"DAYS_SILK";"Column1";"";"DAYS_HARV"
"508";"6";"";"";"";"";"";"56";"";"";"88"
"509";"6";"";"";"";"";"";"48";"";"";"88"
"510";"6";"";"";"";"";"";"48";"";"";"88"
"511";"6";"";"";"";"";"";"48";"";"";"88"
"512";"6";"";"";"";"";"";"48";"";"";"88"
"513";"6";"";"";"";"";"";"48";"";"";"88"
"514";"6";"";"";"";"";"";"47";"";"";"88"
"515";"6";"";"";"";"";"";"48";"";"";"88"
"516";"6";"";"";"";"";"";"47";"";"";"88"
"517";"6";"";"";"";"";"";"48";"";"";"88"
"11347";"6";"";"";"";"";"";"39";"";"";"88"
"11313";"6";"";"";"";"";"";"47";"";"";"88"
"";"6";"";"";"";"";"";"48";"";"";"88"
"9805";"7";"";"";"";"";"";"53";"";"";"87"
"9855";"6";"";"";"";"";"";"47";"";"";"88"
"9924";"6";"";"";"";"";"";"55";"";"";"88"
"10012";"6";"";"";"";"";"";"55";"";"";"88"
"10053";"6";"";"";"";"";"";"59";"";"";"96"
"10122";"6";"";"";"";"";"";"56";"";"";"96"
"10174";"6";"";"";"";"";"";"56";"";"";"88"
"10270";"1";"";"";"";"";"";"55";"";"";"92"
"10319";"6";"";"";"";"";"";"47";"";"";"88"
"10392";"9";"";"";"";"";"";"";"";"";"85"
"10424";"6";"";"";"";"";"";"47";"";"";"88"
"10431";"6";"";"";"";"";"";"47";"";"";"88"
"10434";"7";"";"";"";"";"";"48";"";"";"87"
"10456";"7";"";"";"";"";"";"53";"";"";"87"
"10458";"7";"";"";"";"";"";"53";"";"";"87"
"10459";"7";"";"";"";"";"";"48";"";"";"87"
"10460";"6";"";"";"";"";"";"50";"";"";"87"
"10485";"6";"";"";"";"";"";"50";"";"";"87"
"10486";"6";"";"";"";"";"";"51";"";"";"88"
"10487";"6";"";"";"";"";"";"51";"";"";"88"
"10501";"6";"";"";"";"";"";"44";"";"";"88"
"350-1";"6";"";"";"";"";"";"56";"";"";"88"
"350-2";"6";"";"";"";"";"";"56";"";"";"88"
"350-3";"6";"";"";"";"";"";"56";"";"";"88"
"350-4";"6";"";"";"";"";"";"56";"";"";"88"
"6495";"6";"";"";"";"";"";"51";"";"";"88"
"6496";"6";"";"";"";"";"";"56";"";"";"88"
"9805";"7";"";"";"";"";"";"53";"";"";"87"
"6497";"6";"";"";"";"";"";"56";"";"";"86"
"10740";"6";"";"";"";"";"";"54";"";"";"88"
"10780";"7";"";"";"";"";"";"51";"";"";"87"
"10868";"9";"";"";"";"";"";"57";"";"";"85"
"10880";"9";"";"";"";"";"";"53";"";"";"85"
"335";"6";"";"";"";"";"";"51";"";"";"88"
"338";"6";"";"";"";"";"";"56";"";"";"96"
"339";"6";"";"";"";"";"";"51";"";"";"88"
"340";"6";"";"";"";"";"";"51";"";"";"88"
"341";"6";"";"";"";"";"";"56";"";"";"88"
"342";"9";"";"";"";"";"";"46";"";"";"85"
"343";"6";"";"";"";"";"";"55";"";"";"89"
"344";"6";"";"";"";"";"";"55";"";"";"89"
"345";"6";"";"";"";"";"";"39";"";"";"89"
"346";"6";"";"";"";"";"";"50";"";"";"89"
"347";"6";"";"";"";"";"";"52";"";"";"89"
"348";"6";"";"";"";"";"";"55";"";"";"89"
"349-1";"6";"";"";"";"";"";"50";"";"";"89"
"349-2";"6";"";"";"";"";"";"60";"";"";"96"
"349-3";"6";"";"";"";"";"";"60";"";"";"96"
"349-4";"6";"";"";"";"";"";"55";"";"";"96"
"352";"6";"";"";"";"";"";"39";"";"";"89"
"350-1";"7";"";"";"";"";"";"59";"";"";"95"
"350-2";"6";"";"";"";"";"";"60";"";"";"96"
"350-3";"7";"";"";"";"";"";"54";"";"";"95"
"350-4";"6";"";"";"";"";"";"60";"";"";"96"
"351-1";"6";"";"";"";"";"";"51";"";"";"89"
"351-2";"6";"";"";"";"";"";"55";"";"";"89"
"351-3";"6";"";"";"";"";"";"55";"";"";"89"
"351-4";"6";"";"";"";"";"";"55";"";"";"89"
"11363";"6";"";"";"";"";"";"55";"";"";"89"
"11358";"6";"";"";"";"";"";"55";"";"";"89"
"11357";"6";"";"";"";"";"";"55";"";"";"88"
"11355";"6";"";"";"";"";"";"50";"";"";"89"
"11348";"6";"";"";"";"";"";"55";"";"";"89"
"11339";"6";"";"";"";"";"";"39";"";"";"89"
"11338";"6";"";"";"";"";"";"55";"";"";"89"
"11337";"6";"";"";"";"";"";"44";"";"";"89"
"11335";"6";"";"";"";"";"";"54";"";"";"89"
"11334";"6";"";"";"";"";"";"55";"";"";"89"
"11314";"6";"";"";"";"";"";"50";"";"";"89"
"11316";"6";"";"";"";"";"";"46";"";"";"89"
"11317";"9";"";"";"";"";"";"43";"";"";"86"
"11318";"9";"";"";"";"";"";"51";"";"";"86"
"11319";"9";"";"";"";"";"";"43";"";"";"86"
"11320";"9";"";"";"";"";"";"36";"";"";"86"
"11321";"9";"";"";"";"";"";"43";"";"";"86"
"11322";"9";"";"";"";"";"";"51";"";"";"86"
"11323";"6";"";"";"";"";"";"46";"";"";"89"
"11324";"6";"";"";"";"";"";"50";"";"";"89"
"11325";"6";"";"";"";"";"";"54";"";"";"89"
"11326";"6";"";"";"";"";"";"54";"";"";"89"
"11327";"7";"";"";"";"";"";"50";"";"";"88"
"11331";"6";"";"";"";"";"";"55";"";"";"89"
"9729";"7";"";"";"";"";"";"50";"";"";"88"
"9809";"6";"";"";"";"";"";"51";"";"";"89"
"9815";"6";"";"";"";"";"";"55";"";"";"89"
"9816";"7";"";"";"";"";"";"50";"";"";"88"
"9824";"6";"";"";"";"";"";"50";"";"";"89"
"9831";"6";"";"";"";"";"";"54";"";"";"89"
"9833";"6";"";"";"";"";"";"57";"";"";"89"
"9839";"6";"";"";"";"";"";"55";"";"";"89"
"9841";"7";"";"";"";"";"";"50";"";"";"88"
"9849";"6";"";"";"";"";"";"54";"";"";"89"
"9918";"6";"";"";"";"";"";"51";"";"";"88"
"9919";"6";"";"";"";"";"";"51";"";"";"88"
"9921";"6";"";"";"";"";"";"59";"";"";"96"
"9928";"7";"";"";"";"";"";"63";"";"";"95"
"9932";"6";"";"";"";"";"";"60";"";"";"96"
"9941";"7";"";"";"";"";"";"58";"";"";"95"
"9953";"6";"";"";"";"";"";"64";"";"";"96"
"9959";"6";"";"";"";"";"";"60";"";"";"96"
"10062";"9";"";"";"";"";"";"48";"";"";"85"
"10087";"7";"";"";"";"";"";"63";"";"";"95"
"10091";"6";"";"";"";"";"";"60";"";"";"96"
"10105";"9";"";"";"";"";"";"55";"";"";"85"
"10134";"6";"";"";"";"";"";"51";"";"";"88"
"10143";"6";"";"";"";"";"";"55";"";"";"88"
"10168";"6";"";"";"";"";"";"54";"";"";"88"
"10195";"6";"";"";"";"";"";"51";"";"";"88"
"10197";"6";"";"";"";"";"";"54";"";"";"88"
"10198";"6";"";"";"";"";"";"56";"";"";"96"
"10204";"6";"";"";"";"";"";"59";"";"";"96"
"10218";"6";"";"";"";"";"";"54";"";"";"88"
"10225";"7";"";"";"";"";"";"53";"";"";"87"
"10238";"1";"";"";"";"";"";"50";"";"";"84"
"10269";"7";"";"";"";"";"";"48";"";"";"87"
"10273";"1";"";"";"";"";"";"50";"";"";"84"
"10276";"6";"";"";"";"";"";"34";"";"";"88"
"10307";"6";"";"";"";"";"";"44";"";"";"88"
"10315";"7";"";"";"";"";"";"50";"";"";"87"
"10334";"6";"";"";"";"";"";"42";"";"";"88"
"10335";"6";"";"";"";"";"";"56";"";"";"88"
"10353";"6";"";"";"";"";"";"51";"";"";"88"
"10355";"6";"";"";"";"";"";"51";"";"";"88"
"10356";"6";"";"";"";"";"";"54";"";"";"88"
"10357";"6";"";"";"";"";"";"46";"";"";"88"
"10358";"6";"";"";"";"";"";"46";"";"";"88"
"10364";"6";"";"";"";"";"";"49";"";"";"88"
"10375";"6";"";"";"";"";"";"44";"";"";"88"
"10385";"6";"";"";"";"";"";"54";"";"";"88"
"10389";"6";"";"";"";"";"";"54";"";"";"88"
"10394";"6";"";"";"";"";"";"54";"";"";"88"
"10403";"7";"";"";"";"";"";"54";"";"";"87"
"10415";"1";"";"";"";"";"";"50";"";"";"84"
"10417";"1";"";"";"";"";"";"45";"";"";"84"
"10418";"1";"";"";"";"";"";"45";"";"";"84"
"10419";"1";"";"";"";"";"";"51";"";"";"84"
"10420";"1";"";"";"";"";"";"54";"";"";"84"
"10421";"7";"";"";"";"";"";"43";"";"";"87"
"11334";"";"";"";"";"";"";"";"";"";""
"11341";"";"";"";"";"";"";"";"";"";""
"11342";"";"";"";"";"";"";"";"";"";""
"11345";"";"";"";"";"";"";"";"";"";""
"9775";"";"";"";"";"";"";"";"";"";""
"11349";"";"";"";"";"";"";"";"";"";""
"11354";"";"";"";"";"";"";"";"";"";""
"9847";"";"";"";"";"";"";"";"";"";""
"11357";"";"";"";"";"";"";"";"";"";""
"11358";"";"";"";"";"";"";"";"";"";""
"9900";"";"";"";"";"";"";"";"";"";""
"9902";"";"";"";"";"";"";"";"";"";""
"9903";"";"";"";"";"";"";"";"";"";""
"9904";"";"";"";"";"";"";"";"";"";""
"9905";"";"";"";"";"";"";"";"";"";""
"9916";"";"";"";"";"";"";"";"";"";""
"9917";"";"";"";"";"";"";"";"";"";""
"9920";"";"";"";"";"";"";"";"";"";""
"9922";"";"";"";"";"";"";"";"";"";""
"9923";"";"";"";"";"";"";"";"";"";""
"9927";"";"";"";"";"";"";"";"";"";""
"9943";"";"";"";"";"";"";"";"";"";""
"9953";"";"";"";"";"";"";"";"";"";""
"10013";"";"";"";"";"";"";"";"";"";""
"10014";"";"";"";"";"";"";"";"";"";""
"10015";"";"";"";"";"";"";"";"";"";""
"10018";"";"";"";"";"";"";"";"";"";""
"10045";"";"";"";"";"";"";"";"";"";""
"10049";"";"";"";"";"";"";"";"";"";""
"10050";"";"";"";"";"";"";"";"";"";""
"10051";"";"";"";"";"";"";"";"";"";""
"10118";"";"";"";"";"";"";"";"";"";""
"9730";"";"";"";"";"";"";"";"";"";""
"9731";"";"";"";"";"";"";"";"";"";""
"10136";"";"";"";"";"";"";"";"";"";""
"10138";"";"";"";"";"";"";"";"";"";""
"10139";"";"";"";"";"";"";"";"";"";""
"10145";"";"";"";"";"";"";"";"";"";""
"9732";"";"";"";"";"";"";"";"";"";""
"9739";"";"";"";"";"";"";"";"";"";""
"9754";"";"";"";"";"";"";"";"";"";""
"9756";"";"";"";"";"";"";"";"";"";""
"10221";"";"";"";"";"";"";"";"";"";""
"10232";"";"";"";"";"";"";"";"";"";""
"10233";"";"";"";"";"";"";"";"";"";""
"10234";"";"";"";"";"";"";"";"";"";""
"10235";"";"";"";"";"";"";"";"";"";""
"10236";"";"";"";"";"";"";"";"";"";""
"10237";"";"";"";"";"";"";"";"";"";""
"9893";"";"";"";"";"";"";"";"";"";""
"10239";"";"";"";"";"";"";"";"";"";""
"10240";"";"";"";"";"";"";"";"";"";""
"10241";"";"";"";"";"";"";"";"";"";""
"10244";"";"";"";"";"";"";"";"";"";""
"10245";"";"";"";"";"";"";"";"";"";""
"10246";"";"";"";"";"";"";"";"";"";""
"10248";"";"";"";"";"";"";"";"";"";""
"10249";"";"";"";"";"";"";"";"";"";""
"10250";"";"";"";"";"";"";"";"";"";""
"10251";"";"";"";"";"";"";"";"";"";""
"10253";"";"";"";"";"";"";"";"";"";""
"10254";"";"";"";"";"";"";"";"";"";""
"10255";"";"";"";"";"";"";"";"";"";""
"10256";"";"";"";"";"";"";"";"";"";""
"9894";"";"";"";"";"";"";"";"";"";""
"10258";"";"";"";"";"";"";"";"";"";""
"9897";"";"";"";"";"";"";"";"";"";""
"9898";"";"";"";"";"";"";"";"";"";""
"9899";"";"";"";"";"";"";"";"";"";""
"9900";"";"";"";"";"";"";"";"";"";""
"10260";"";"";"";"";"";"";"";"";"";""
"10261";"";"";"";"";"";"";"";"";"";""
"9947";"";"";"";"";"";"";"";"";"";""
"10264";"";"";"";"";"";"";"";"";"";""
"10265";"";"";"";"";"";"";"";"";"";""
"10266";"";"";"";"";"";"";"";"";"";""
"9950";"";"";"";"";"";"";"";"";"";""
"10268";"";"";"";"";"";"";"";"";"";""
"9955";"";"";"";"";"";"";"";"";"";""
"10269";"";"";"";"";"";"";"";"";"";""
"10271";"";"";"";"";"";"";"";"";"";""
"10272";"";"";"";"";"";"";"";"";"";""
"9956";"";"";"";"";"";"";"";"";"";""
"10274";"";"";"";"";"";"";"";"";"";""
"9957";"";"";"";"";"";"";"";"";"";""
"9966";"";"";"";"";"";"";"";"";"";""
"10275";"";"";"";"";"";"";"";"";"";""
"10276";"";"";"";"";"";"";"";"";"";""
"10277";"";"";"";"";"";"";"";"";"";""
"10278";"";"";"";"";"";"";"";"";"";""
"10279";"";"";"";"";"";"";"";"";"";""
"9967";"";"";"";"";"";"";"";"";"";""
"10281";"";"";"";"";"";"";"";"";"";""
"10282";"";"";"";"";"";"";"";"";"";""
"10283";"";"";"";"";"";"";"";"";"";""
"10284";"";"";"";"";"";"";"";"";"";""
"10285";"";"";"";"";"";"";"";"";"";""
"10286";"";"";"";"";"";"";"";"";"";""
"10287";"";"";"";"";"";"";"";"";"";""
"10288";"";"";"";"";"";"";"";"";"";""
"10289";"";"";"";"";"";"";"";"";"";""
"10290";"";"";"";"";"";"";"";"";"";""
"9972";"";"";"";"";"";"";"";"";"";""
"10068";"";"";"";"";"";"";"";"";"";""
"10293";"";"";"";"";"";"";"";"";"";""
"9978";"";"";"";"";"";"";"";"";"";""
"10295";"";"";"";"";"";"";"";"";"";""
"9980";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
"9983";"";"";"";"";"";"";"";"";"";""
"9984";"";"";"";"";"";"";"";"";"";""
"10300";"";"";"";"";"";"";"";"";"";""
"10301";"";"";"";"";"";"";"";"";"";""
"10302";"";"";"";"";"";"";"";"";"";""
"9991";"";"";"";"";"";"";"";"";"";""
"10304";"";"";"";"";"";"";"";"";"";""
"9996";"";"";"";"";"";"";"";"";"";""
"10305";"";"";"";"";"";"";"";"";"";""
"10001";"";"";"";"";"";"";"";"";"";""
"10306";"";"";"";"";"";"";"";"";"";""
"10307";"";"";"";"";"";"";"";"";"";""
"10006";"";"";"";"";"";"";"";"";"";""
"10013";"";"";"";"";"";"";"";"";"";""
"10310";"";"";"";"";"";"";"";"";"";""
"10311";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
"10015";"";"";"";"";"";"";"";"";"";""
"10032";"";"";"";"";"";"";"";"";"";""
"10314";"";"";"";"";"";"";"";"";"";""
"10315";"";"";"";"";"";"";"";"";"";""
"10316";"";"";"";"";"";"";"";"";"";""
"10317";"";"";"";"";"";"";"";"";"";""
"10035";"";"";"";"";"";"";"";"";"";""
"10044";"";"";"";"";"";"";"";"";"";""
"10320";"";"";"";"";"";"";"";"";"";""
"10057";"";"";"";"";"";"";"";"";"";""
"10321";"";"";"";"";"";"";"";"";"";""
"10322";"";"";"";"";"";"";"";"";"";""
"10323";"";"";"";"";"";"";"";"";"";""
"10324";"";"";"";"";"";"";"";"";"";""
"10069";"";"";"";"";"";"";"";"";"";""
"10072";"";"";"";"";"";"";"";"";"";""
"10325";"";"";"";"";"";"";"";"";"";""
"10326";"";"";"";"";"";"";"";"";"";""
"10327";"";"";"";"";"";"";"";"";"";""
"10089";"";"";"";"";"";"";"";"";"";""
"10329";"";"";"";"";"";"";"";"";"";""
"10330";"";"";"";"";"";"";"";"";"";""
"10331";"";"";"";"";"";"";"";"";"";""
"10091";"";"";"";"";"";"";"";"";"";""
"10332";"";"";"";"";"";"";"";"";"";""
"10333";"";"";"";"";"";"";"";"";"";""
"10334";"";"";"";"";"";"";"";"";"";""
"10335";"";"";"";"";"";"";"";"";"";""
"10336";"";"";"";"";"";"";"";"";"";""
"10094";"";"";"";"";"";"";"";"";"";""
"10337";"";"";"";"";"";"";"";"";"";""
"10338";"";"";"";"";"";"";"";"";"";""
"10339";"";"";"";"";"";"";"";"";"";""
"10340";"";"";"";"";"";"";"";"";"";""
"10341";"";"";"";"";"";"";"";"";"";""
"10342";"";"";"";"";"";"";"";"";"";""
"10343";"";"";"";"";"";"";"";"";"";""
"10344";"";"";"";"";"";"";"";"";"";""
"10345";"";"";"";"";"";"";"";"";"";""
"10346";"";"";"";"";"";"";"";"";"";""
"10347";"";"";"";"";"";"";"";"";"";""
"10348";"";"";"";"";"";"";"";"";"";""
"10349";"";"";"";"";"";"";"";"";"";""
"10350";"";"";"";"";"";"";"";"";"";""
"10351";"";"";"";"";"";"";"";"";"";""
"10352";"";"";"";"";"";"";"";"";"";""
"10353";"";"";"";"";"";"";"";"";"";""
"10354";"";"";"";"";"";"";"";"";"";""
"10355";"";"";"";"";"";"";"";"";"";""
"10356";"";"";"";"";"";"";"";"";"";""
"10357";"";"";"";"";"";"";"";"";"";""
"10358";"";"";"";"";"";"";"";"";"";""
"10359";"";"";"";"";"";"";"";"";"";""
"10360";"";"";"";"";"";"";"";"";"";""
"10361";"";"";"";"";"";"";"";"";"";""
"10362";"";"";"";"";"";"";"";"";"";""
"10363";"";"";"";"";"";"";"";"";"";""
"10364";"";"";"";"";"";"";"";"";"";""
"10365";"";"";"";"";"";"";"";"";"";""
"10366";"";"";"";"";"";"";"";"";"";""
"10367";"";"";"";"";"";"";"";"";"";""
"10368";"";"";"";"";"";"";"";"";"";""
"10369";"";"";"";"";"";"";"";"";"";""
"10370";"";"";"";"";"";"";"";"";"";""
"10371";"";"";"";"";"";"";"";"";"";""
"10372";"";"";"";"";"";"";"";"";"";""
"10373";"";"";"";"";"";"";"";"";"";""
"10374";"";"";"";"";"";"";"";"";"";""
"10375";"";"";"";"";"";"";"";"";"";""
"10376";"";"";"";"";"";"";"";"";"";""
"10377";"";"";"";"";"";"";"";"";"";""
"10378";"";"";"";"";"";"";"";"";"";""
"10379";"";"";"";"";"";"";"";"";"";""
"10380";"";"";"";"";"";"";"";"";"";""
"10095";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
"10390";"";"";"";"";"";"";"";"";"";""
"10391";"";"";"";"";"";"";"";"";"";""
"10392";"";"";"";"";"";"";"";"";"";""
"10393";"";"";"";"";"";"";"";"";"";""
"10381";"";"";"";"";"";"";"";"";"";""
"10396";"";"";"";"";"";"";"";"";"";""
"10397";"";"";"";"";"";"";"";"";"";""
"10398";"";"";"";"";"";"";"";"";"";""
"10096";"";"";"";"";"";"";"";"";"";""
"10097";"";"";"";"";"";"";"";"";"";""
"10108";"";"";"";"";"";"";"";"";"";""
"10109";"";"";"";"";"";"";"";"";"";""
"10110";"";"";"";"";"";"";"";"";"";""
"10111";"";"";"";"";"";"";"";"";"";""
"10114";"";"";"";"";"";"";"";"";"";""
"10134";"";"";"";"";"";"";"";"";"";""
"10382";"";"";"";"";"";"";"";"";"";""
"10157";"";"";"";"";"";"";"";"";"";""
"10158";"";"";"";"";"";"";"";"";"";""
"10174";"";"";"";"";"";"";"";"";"";""
"10175";"";"";"";"";"";"";"";"";"";""
"10185";"";"";"";"";"";"";"";"";"";""
"10189";"";"";"";"";"";"";"";"";"";""
"10411";"";"";"";"";"";"";"";"";"";""
"10124";"";"";"";"";"";"";"";"";"";""
"10383";"";"";"";"";"";"";"";"";"";""
"10384";"";"";"";"";"";"";"";"";"";""
"10385";"";"";"";"";"";"";"";"";"";""
"10386";"";"";"";"";"";"";"";"";"";""
"10387";"";"";"";"";"";"";"";"";"";""
"10388";"";"";"";"";"";"";"";"";"";""
"11335";"";"";"";"";"";"";"";"";"";""
"11348";"";"";"";"";"";"";"";"";"";""
"9887";"";"";"";"";"";"";"";"";"";""
"9888";"";"";"";"";"";"";"";"";"";""
"9889";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";""
"9890";"";"";"";"";"";"";"";"";"";""
"9892";"";"";"";"";"";"";"";"";"";""
"9930";"";"";"";"";"";"";"";"";"";""
"9946";"";"";"";"";"";"";"";"";"";""
"10122";"";"";"";"";"";"";"";"";"";""
"10243";"";"";"";"";"";"";"";"";"";""
"10252";"";"";"";"";"";"";"";"";"";""
"20739";"";"";"";"";"";"";"";"";"";""
"10257";"";"";"";"";"";"";"";"";"";""
"10196";"";"";"";"";"";"";"";"";"";""
"10197";"";"";"";"";"";"";"";"";"";""
"10198";"";"";"";"";"";"";"";"";"";""
"10201";"";"";"";"";"";"";"";"";"";""
"10204";"";"";"";"";"";"";"";"";"";""
"10319";"";"";"";"";"";"";"";"";"";""
"10394";"";"";"";"";"";"";"";"";"";""
"10404";"";"";"";"";"";"";"";"";"";""
"10142";"";"";"";"";"";"";"";"";"";""
"10214";"";"";"";"";"";"";"";"";"";""
"10218";"";"";"";"";"";"";"";"";"";""
"10389";"";"";"";"";"";"";"";"";"";""
"10390";"";"";"";"";"";"";"";"";"";""
"10393";"";"";"";"";"";"";"";"";"";""
"2396";"5";"";"";"";"";"";"42";"";"";"88"
"2397";"5";"";"";"";"";"";"42";"";"";"88"
"3045";"5";"";"";"";"";"";"42";"";"";"88"
"9886";"5";"";"";"";"";"";"53";"";"";"99"
"9905";"5";"";"";"";"";"";"43";"";"";"89"
"9908";"5";"";"";"";"";"";"45";"";"";"89"
"9911";"5";"";"";"";"";"";"48";"";"";"94"
"9913";"5";"";"";"";"";"";"45";"";"";"91"
"9914";"5";"";"";"";"";"";"51";"";"";"97"
"9928";"5";"";"";"";"";"";"65";"";"";"111"
"9929";"5";"";"";"";"";"";"59";"";"";"105"
"9931";"5";"";"";"";"";"";"60";"";"";"106"
"9940";"6";"";"";"";"";"";"59";"";"";"107"
"9945";"5";"";"";"";"";"";"55";"";"";"101"
"9953";"5";"";"";"";"";"";"66";"";"";"112"
"10023";"6";"";"";"";"";"";"56";"";"";"102"
"10087";"6";"";"";"";"";"";"70";"";"";"116"
"10088";"5";"";"";"";"";"";"63";"";"";"109"
"10161";"5";"";"";"";"";"";"48";"";"";"94"
"10168";"5";"";"";"";"";"";"48";"";"";"94"
"10177";"6";"";"";"";"";"";"57";"";"";"103"
"10178";"6";"";"";"";"";"";"60";"";"";"106"
"10182";"6";"";"";"";"";"";"57";"";"";"103"
"10184";"6";"";"";"";"";"";"50";"";"";"96"
"10185";"5";"";"";"";"";"";"53";"";"";"99"
"10186";"5";"";"";"";"";"";"57";"";"";"103"
"10190";"5";"";"";"";"";"";"51";"";"";"97"
"10225";"6";"";"";"";"";"";"55";"";"";"101"
"10238";"5";"";"";"";"";"";"51";"";"";"97"
"10247";"5";"";"";"";"";"";"51";"";"";"97"
"10265";"6";"";"";"";"";"";"50";"";"";"96"
"10270";"6";"";"";"";"";"";"50";"";"";"96"
"10273";"5";"";"";"";"";"";"50";"";"";"96"
"10279";"7";"";"";"";"";"";"49";"";"";"95"
"10280";"5";"";"";"";"";"";"51";"";"";"97"
"10281";"5";"";"";"";"";"";"51";"";"";"97"
"10297";"6";"";"";"";"";"";"54";"";"";"100"
"10300";"6";"";"";"";"";"";"48";"";"";"94"
"10309";"6";"";"";"";"";"";"52";"";"";"98"
"10382";"5";"";"";"";"";"";"49";"";"";"95"
"10395";"5";"";"";"";"";"";"53";"";"";"99"
"10402";"6";"";"";"";"";"";"54";"";"";"100"
"10408";"6";"";"";"";"";"";"54";"";"";"100"
"10417";"5";"";"";"";"";"";"50";"";"";"96"
"10438";"5";"";"";"";"";"";"49";"";"";"95"
"10442";"6";"";"";"";"";"";"54";"";"";"100"
"10445";"5";"";"";"";"";"";"49";"";"";"95"
"10448";"6";"";"";"";"";"";"54";"";"";"100"
"10461";"6";"";"";"";"";"";"50";"";"";"96"
"10467";"5";"";"";"";"";"";"55";"";"";"96"
"10468";"5";"";"";"";"";"";"50";"";"";"96"
"10469";"6";"";"";"";"";"";"49";"";"";"96"
"10471";"5";"";"";"";"";"";"50";"";"";"96"
"10492";"5";"";"";"";"";"";"51";"";"";"96"
"10496";"5";"";"";"";"";"";"44";"";"";"90"
"10497";"5";"";"";"";"";"";"44";"";"";"90"
"10498";"5";"";"";"";"";"";"44";"";"";"90"
"10499";"5";"";"";"";"";"";"44";"";"";"90"
"10500";"5";"";"";"";"";"";"43";"";"";"89"
"10502";"5";"";"";"";"";"";"42";"";"";"89"
"10503";"6";"";"";"";"";"";"47";"";"";"93"
"10504";"5";"";"";"";"";"";"44";"";"";"90"
"10675";"7";"";"";"";"";"";"47";"";"";"93"
"10676";"6";"";"";"";"";"";"55";"";"";"101"
"10510";"5";"";"";"";"";"";"50";"";"";"96"
"10511";"6";"";"";"";"";"";"43";"";"";"89"
"10512";"5";"";"";"";"";"";"44";"";"";"90"
"10517";"5";"";"";"";"";"";"50";"";"";"96"
"10520";"7";"";"";"";"";"";"51";"";"";"97"
"10521";"7";"";"";"";"";"";"53";"";"";"99"
"10522";"5";"";"";"";"";"";"47";"";"";"93"
"10523";"5";"";"";"";"";"";"55";"";"";"96"
"10524";"5";"";"";"";"";"";"51";"";"";"97"
"10525";"5";"";"";"";"";"";"51";"";"";"97"
"10526";"5";"";"";"";"";"";"49";"";"";"95"
"10527";"5";"";"";"";"";"";"52";"";"";"98"
"10528";"5";"";"";"";"";"";"45";"";"";"91"
"10531";"5";"";"";"";"";"";"52";"";"";"98"
"10532";"5";"";"";"";"";"";"50";"";"";"96"
"10533";"5";"";"";"";"";"";"49";"";"";"95"
"10534";"5";"";"";"";"";"";"55";"";"";"96"
"10538";"5";"";"";"";"";"";"44";"";"";"90"
"10539";"6";"";"";"";"";"";"54";"";"";"100"
"10540";"6";"";"";"";"";"";"43";"";"";"89"
"10541";"6";"";"";"";"";"";"54";"";"";"97"
"10542";"6";"";"";"";"";"";"54";"";"";"100"
"10545";"6";"";"";"";"";"";"50";"";"";"96"
"10546";"6";"";"";"";"";"";"56";"";"";"102"
"10548";"6";"";"";"";"";"";"46";"";"";"92"
"10550";"6";"";"";"";"";"";"57";"";"";"97"
"10552";"6";"";"";"";"";"";"56";"";"";"102"
"10554";"6";"";"";"";"";"";"51";"";"";"97"
"10556";"6";"";"";"";"";"";"51";"";"";"97"
"10559";"6";"";"";"";"";"";"56";"";"";"102"
"10560";"6";"";"";"";"";"";"54";"";"";"100"
"10561";"6";"";"";"";"";"";"56";"";"";"102"
"10562";"6";"";"";"";"";"";"51";"";"";"97"
"10563";"6";"";"";"";"";"";"48";"";"";"108"
"10567";"6";"";"";"";"";"";"56";"";"";"102"
"10568";"6";"";"";"";"";"";"59";"";"";"105"
"10569";"6";"";"";"";"";"";"59";"";"";"105"
"10570";"6";"";"";"";"";"";"62";"";"";"108"
"10573";"5";"";"";"";"";"";"63";"";"";"109"
"10574";"6";"";"";"";"";"";"54";"";"";"100"
"10575";"6";"";"";"";"";"";"56";"";"";"102"
"10577";"5";"";"";"";"";"";"48";"";"";"94"
"10579";"6";"";"";"";"";"";"56";"";"";""
"10581";"6";"";"";"";"";"";"56";"";"";"102"
"10582";"6";"";"";"";"";"";"51";"";"";"97"
"10583";"6";"";"";"";"";"";"52";"";"";"98"
"10584";"6";"";"";"";"";"";"62";"";"";"108"
"10585";"6";"";"";"";"";"";"47";"";"";"93"
"10586";"6";"";"";"";"";"";"50";"";"";"97"
"10587";"6";"";"";"";"";"";"46";"";"";"92"
"11313";"5";"";"";"";"";"";"44";"";"";"90"
"11317";"5";"";"";"";"";"";"44";"";"";"90"
"11318";"5";"";"";"";"";"";"48";"";"";"94"
"11325";"5";"";"";"";"";"";"53";"";"";"99"
"11335";"5";"";"";"";"";"";"52";"";"";"98"
"11359";"5";"";"";"";"";"";"48";"";"";"94"
"6502";"5";"";"";"";"";"";"44";"";"";"90"
"6503";"5";"";"";"";"";"";"44";"";"";"90"
