"PHL NO.";"DAYS_EMER";"Column1";"";"DAYS_TASS";"Column1";"";"DAYS_SILK";"Column1";"";"DAYS_HARV"
"10550";"6";"";"";"";"";"";"57";"";"";"97"
"10552";"6";"";"";"";"";"";"56";"";"";"102"
"10554";"6";"";"";"";"";"";"51";"";"";"97"
"10556";"6";"";"";"";"";"";"51";"";"";"97"
"10557";"6";"";"";"";"";"";"54";"";"";"100"
"10559";"6";"";"";"";"";"";"56";"";"";"102"
"10560";"6";"";"";"";"";"";"54";"";"";"100"
"10561";"6";"";"";"";"";"";"56";"";"";"102"
"10562";"6";"";"";"";"";"";"51";"";"";"97"
"10563";"6";"";"";"";"";"";"48";"";"";"108"
"10565";"6";"";"";"";"";"";"";"";"";""
"10567";"6";"";"";"";"";"";"56";"";"";"102"
"10568";"6";"";"";"";"";"";"59";"";"";"105"
"10569";"6";"";"";"";"";"";"59";"";"";"105"
"10570";"6";"";"";"";"";"";"62";"";"";"108"
"10573";"5";"";"";"";"";"";"63";"";"";"109"
"10574";"6";"";"";"";"";"";"54";"";"";"100"
"10575";"6";"";"";"";"";"";"56";"";"";"102"
"10577";"5";"";"";"";"";"";"56";"";"";"94"
"10579";"6";"";"";"";"";"";"48";"";"";""
"10581";"6";"";"";"";"";"";"56";"";"";"102"
"10582";"6";"";"";"";"";"";"51";"";"";"97"
"10583";"6";"";"";"";"";"";"52";"";"";"98"
"10584";"6";"";"";"";"";"";"63";"";"";"108"
"10585";"6";"";"";"";"";"";"47";"";"";"93"
"10586";"6";"";"";"";"";"";"50";"";"";"97"
"10587";"6";"";"";"";"";"";"46";"";"";"92"
"11313";"5";"";"";"";"";"";"44";"";"";"90"
"11317";"5";"";"";"";"";"";"44";"";"";"90"
"11318";"5";"";"";"";"";"";"48";"";"";"94"
"11325";"5";"";"";"";"";"";"53";"";"";"99"
"11335";"5";"";"";"";"";"";"52";"";"";"98"
"11359";"5";"";"";"";"";"";"48";"";"";"94"
"4807";"5";"";"";"";"";"";"44";"";"";"90"
"4166";"5";"";"";"";"";"";"44";"";"";"90"
"334";"5";"";"";"";"";"";"45";"";"";"91"
"488";"5";"";"";"";"";"";"46";"";"";"92"
"1189";"6";"";"";"";"";"";"49";"";"";"95"
"1190";"5";"";"";"";"";"";"48";"";"";"94"
"1192";"5";"";"";"";"";"";"48";"";"";"94"
"10925";"5";"";"";"";"";"";"47";"";"";"93"
"1213";"5";"";"";"";"";"";"53";"";"";"99"
"1214";"5";"";"";"";"";"";"49";"";"";"95"
"1215";"5";"";"";"";"";"";"49";"";"";"95"
"1221";"5";"";"";"";"";"";"52";"";"";"98"
"1232";"5";"";"";"";"";"";"53";"";"";"99"
"1234";"5";"";"";"";"";"";"53";"";"";"99"
"1246";"5";"";"";"";"";"";"52";"";"";""
"1250";"5";"";"";"";"";"";"52";"";"";"98"
"1257";"5";"";"";"";"";"";"48";"";"";"94"
"1771";"5";"";"";"";"";"";"52";"";"";"98"
"1959";"5";"";"";"";"";"";"48";"";"";"94"
"1960";"5";"";"";"";"";"";"51";"";"";"97"
"3808";"6";"";"";"";"";"";"49";"";"";"94"
"1961";"5";"";"";"";"";"";"46";"";"";"92"
"9890";"5";"";"";"";"";"";"51";"";"";"97"
"9895";"5";"";"";"";"";"";"46";"";"";"92"
"9907";"5";"";"";"";"";"";"70";"";"";"116"
"9909";"5";"";"";"";"";"";"51";"";"";"102"
"9924";"5";"";"";"";"";"";"58";"";"";"104"
"9946";"5";"";"";"";"";"";"53";"";"";"99"
"10191";"5";"";"";"";"";"";"59";"";"";"104"
"10470";"5";"";"";"";"";"";"50";"";"";""
"10535";"5";"";"";"";"";"";"43";"";"";""
"10543";"5";"";"";"";"";"";"55";"";"";""
"10544";"6";"";"";"";"";"";"54";"";"";""
"10553";"6";"";"";"";"";"";"47";"";"";""
"10576";"6";"";"";"";"";"";"56";"";"";""
"9958";"6";"";"";"";"";"";"67";"";"";""
"1679";"7";"";"";"";"";"";"44";"";"";"87"
"10512";"7";"";"";"";"";"";"45";"";"";"87"
"10513";"7";"";"";"";"";"";"41";"";"";"87"
"10518";"7";"";"";"";"";"";"39";"";"";"87"
"11360";"7";"";"";"";"";"";"44";"";"";"87"
"11361";"7";"";"";"";"";"";"48";"";"";"97"
"11362";"7";"";"";"";"";"";"48";"";"";"97"
"495";"7";"";"";"";"";"";"44";"";"";"87"
"496";"7";"";"";"";"";"";"44";"";"";"87"
"498";"7";"";"";"";"";"";"41";"";"";"87"
"499";"7";"";"";"";"";"";"45";"";"";"87"
"500";"7";"";"";"";"";"";"45";"";"";"87"
"501";"7";"";"";"";"";"";"41";"";"";"87"
"502";"7";"";"";"";"";"";"41";"";"";"87"
"503";"7";"";"";"";"";"";"52";"";"";"97"
"507";"7";"";"";"";"";"";"49";"";"";"87"
"508";"7";"";"";"";"";"";"56";"";"";"97"
"509";"7";"";"";"";"";"";"50";"";"";"87"
"510";"7";"";"";"";"";"";"44";"";"";"87"
"511";"7";"";"";"";"";"";"49";"";"";"87"
"512";"7";"";"";"";"";"";"44";"";"";"87"
"513";"7";"";"";"";"";"";"50";"";"";"87"
"514";"7";"";"";"";"";"";"50";"";"";"97"
"515";"7";"";"";"";"";"";"41";"";"";"97"
"517";"7";"";"";"";"";"";"44";"";"";"87"
"350-1";"7";"";"";"";"";"";"53";"";"";"97"
"350-3";"7";"";"";"";"";"";"49";"";"";"97"
"350-4";"7";"";"";"";"";"";"53";"";"";"97"
"6496";"7";"";"";"";"";"";"49";"";"";"97"
"342";"7";"";"";"";"";"";"55";"";"";"87"
"346";"7";"";"";"";"";"";"45";"";"";"87"
"347";"7";"";"";"";"";"";"49";"";"";""
"349-1";"7";"";"";"";"";"";"49";"";"";"87"
"349-2";"7";"";"";"";"";"";"56";"";"";"97"
"349-3";"7";"";"";"";"";"";"54";"";"";"99"
"350-3";"7";"";"";"";"";"";"54";"";"";"99"
"350-4";"7";"";"";"";"";"";"54";"";"";"99"
"351-4";"7";"";"";"";"";"";"49";"";"";"87"
"6503";"7";"";"";"";"";"";"49";"";"";"87"
"334";"7";"";"";"";"";"";"44";"";"";"87"
"335";"7";"";"";"";"";"";"49";"";"";"87"
"336";"7";"";"";"";"";"";"49";"";"";"87"
"337";"7";"";"";"";"";"";"44";"";"";"87"
"478";"7";"";"";"";"";"";"45";"";"";"87"
"479";"7";"";"";"";"";"";"49";"";"";"87"
"480";"7";"";"";"";"";"";"44";"";"";"87"
"481";"7";"";"";"";"";"";"44";"";"";"87"
"482";"7";"";"";"";"";"";"44";"";"";"87"
"483";"7";"";"";"";"";"";"45";"";"";"87"
"484";"7";"";"";"";"";"";"44";"";"";"87"
"485";"7";"";"";"";"";"";"41";"";"";"87"
"486";"7";"";"";"";"";"";"44";"";"";"87"
"487";"7";"";"";"";"";"";"50";"";"";"87"
"488";"7";"";"";"";"";"";"50";"";"";"87"
"489";"7";"";"";"";"";"";"50";"";"";"87"
"490";"7";"";"";"";"";"";"50";"";"";"87"
"491";"7";"";"";"";"";"";"50";"";"";"87"
"492";"7";"";"";"";"";"";"50";"";"";"87"
"493";"7";"";"";"";"";"";"50";"";"";"87"
"494";"7";"";"";"";"";"";"50";"";"";"87"
"1182";"7";"";"";"";"";"";"54";"";"";"99"
"1183";"7";"";"";"";"";"";"54";"";"";"99"
"1184";"7";"";"";"";"";"";"50";"";"";"99"
"1185";"7";"";"";"";"";"";"48";"";"";"87"
"1186";"7";"";"";"";"";"";"50";"";"";"99"
"1187";"7";"";"";"";"";"";"52";"";"";"99"
"1188";"7";"";"";"";"";"";"54";"";"";"99"
"1189";"7";"";"";"";"";"";"49";"";"";"87"
"1190";"7";"";"";"";"";"";"49";"";"";"87"
"1191";"7";"";"";"";"";"";"55";"";"";"99"
"1192";"7";"";"";"";"";"";"45";"";"";"87"
"1193";"7";"";"";"";"";"";"54";"";"";"87"
"1194";"7";"";"";"";"";"";"55";"";"";"99"
"1195";"7";"";"";"";"";"";"52";"";"";"99"
"1196";"7";"";"";"";"";"";"52";"";"";"99"
"1197";"7";"";"";"";"";"";"55";"";"";"99"
"1198";"7";"";"";"";"";"";"53";"";"";"87"
"1199";"7";"";"";"";"";"";"49";"";"";"87"
"1200";"7";"";"";"";"";"";"50";"";"";"99"
"1201";"7";"";"";"";"";"";"57";"";"";"99"
"1202";"7";"";"";"";"";"";"55";"";"";"97"
"1203";"7";"";"";"";"";"";"55";"";"";"97"
"1204";"7";"";"";"";"";"";"55";"";"";"97"
"1205";"7";"";"";"";"";"";"55";"";"";"97"
"1206";"7";"";"";"";"";"";"55";"";"";"97"
"1207";"7";"";"";"";"";"";"55";"";"";"97"
"1208";"7";"";"";"";"";"";"55";"";"";""
"1209";"7";"";"";"";"";"";"55";"";"";"97"
"1210";"7";"";"";"";"";"";"55";"";"";"97"
"1211";"7";"";"";"";"";"";"55";"";"";"97"
"1212";"7";"";"";"";"";"";"55";"";"";"97"
"1213";"7";"";"";"";"";"";"54";"";"";"87"
"1214";"7";"";"";"";"";"";"46";"";"";"87"
"1215";"7";"";"";"";"";"";"55";"";"";"97"
"1216";"7";"";"";"";"";"";"55";"";"";"97"
"1217";"7";"";"";"";"";"";"46";"";"";"87"
"1218";"7";"";"";"";"";"";"55";"";"";"97"
"1219";"7";"";"";"";"";"";"55";"";"";"97"
"1220";"7";"";"";"";"";"";"54";"";"";"97"
"1221";"7";"";"";"";"";"";"55";"";"";"97"
"1222";"7";"";"";"";"";"";"55";"";"";"97"
"1223";"7";"";"";"";"";"";"45";"";"";"97"
"1224";"7";"";"";"";"";"";"55";"";"";"97"
"1225";"7";"";"";"";"";"";"55";"";"";"97"
"1226";"7";"";"";"";"";"";"55";"";"";"97"
"1227";"7";"";"";"";"";"";"45";"";"";"97"
"1228";"7";"";"";"";"";"";"54";"";"";"97"
"1229";"7";"";"";"";"";"";"55";"";"";"97"
"1230";"7";"";"";"";"";"";"55";"";"";"97"
"1231";"7";"";"";"";"";"";"55";"";"";"97"
"1232";"7";"";"";"";"";"";"55";"";"";"97"
"1233";"7";"";"";"";"";"";"54";"";"";"97"
"1234";"7";"";"";"";"";"";"53";"";"";"87"
"1235";"7";"";"";"";"";"";"46";"";"";"87"
"1236";"7";"";"";"";"";"";"43";"";"";"97"
"1237";"7";"";"";"";"";"";"53";"";"";"97"
"1238";"7";"";"";"";"";"";"53";"";"";"97"
"1239";"7";"";"";"";"";"";"53";"";"";"97"
"1240";"7";"";"";"";"";"";"53";"";"";"87"
"1241";"7";"";"";"";"";"";"52";"";"";"97"
"1242";"7";"";"";"";"";"";"52";"";"";"97"
"1243";"7";"";"";"";"";"";"52";"";"";"97"
"1244";"7";"";"";"";"";"";"53";"";"";"97"
"1245";"7";"";"";"";"";"";"53";"";"";"97"
